title,year,runtime,certificate,rating,metascore,votes,gross
Dragon Ball Z: Broly - The Legendary Super Saiyan,1993,72,TV-PG,7.4,,11456,
Shoot the Piano Player,1960,92,Not Rated,7.4,,20100,
Trust,1990,107,R,7.4,67.0,11778,0.36
Kesari,2019,150,Not Rated,7.4,,21598,
Bhool Bhulaiyaa,2007,159,Not Rated,7.4,,30643,1.07
Where Do We Go Now?,2011,110,PG-13,7.4,60.0,13209,0.53
Doctor,2021,148,,7.4,,17623,
Guzaarish,2010,126,,7.4,,19285,1.02
The Kid with a Bike,2011,87,PG-13,7.4,87.0,28262,1.38
Snow Cake,2006,112,Not Rated,7.4,54.0,13082,0.03
The Firemen's Ball,1967,73,Not Rated,7.4,,11589,
Hunting Season,2010,140,,7.4,,35682,
See You Up There,2017,117,TV-MA,7.4,,10493,
The Child,2005,95,R,7.4,87.0,19172,0.65
Once Upon a Time in Mumbaai,2010,134,Not Rated,7.4,,18267,
Even the Rain,2010,103,Not Rated,7.4,69.0,13976,0.56
Animal Crackers,1930,97,G,7.4,77.0,14928,0.91
Kaminey,2009,130,Not Rated,7.4,,17705,1.29
Hum Dil De Chuke Sanam,1999,188,Not Rated,7.4,,19309,
I,2015,188,Not Rated,7.4,,22602,
Khuda Haafiz Chapter 2 Agni Pariksha,2022,144,,7.4,,14575,
Qayamat Se Qayamat Tak,1988,162,,7.4,,11167,
Monkey Business,1931,77,Not Rated,7.4,74.0,13969,
Khakee,2004,174,Not Rated,7.4,,16320,
Dhamaal,2007,136,Not Rated,7.4,,17215,
Yahsi Bati,2009,112,,7.4,,37179,
The Edukators,2004,127,R,7.4,68.0,32125,0.18
The Secret Life of Words,2005,115,Not Rated,7.4,68.0,12953,0.02
I'm Not Scared,2003,108,R,7.4,73.0,15355,1.62
Aankhen,2002,165,Not Rated,7.4,,13707,
The Princess and the Warrior,2000,135,R,7.4,64.0,14821,0.87
Paradise Now,2005,91,PG-13,7.4,71.0,23664,1.45
Rangeela,1995,142,Not Rated,7.4,,10202,
Divines,2016,105,,7.4,71.0,10294,
Peepli [Live],2010,95,Not Rated,7.4,69.0,12546,0.75
Jhund,2022,176,,7.4,,25499,
Magic Carpet Ride,2005,106,,7.4,,34546,
A Chinese Ghost Story,1987,98,Unrated,7.4,,10668,
Baghban,2003,181,Not Rated,7.4,,17058,1.10
The Road to Guantanamo,2006,95,R,7.4,64.0,11428,0.32
The Magician,2006,122,,7.4,,33706,
Chachi 420,1997,155,,7.4,,13417,
Golmaal: Fun Unlimited,2006,150,,7.4,,18247,
Neredesin Firuze,2004,128,,7.4,,12133,
Takva,2006,96,,7.4,,13175,
Limonata,2015,110,,7.4,,14110,
61 Days,2016,115,,7.4,,14993,
Telling Tales,2015,103,TV-Y7,7.4,,16309,
Dookudu,2011,170,Not Rated,7.4,,13815,1.56
Rocky Aur Rani Kii Prem Kahaani,2023,168,Not Rated,7.3,,28196,
Dungeons & Dragons: Honor Among Thieves,2023,134,PG-13,7.3,72.0,162105,
Tenet,2020,150,PG-13,7.3,69.0,549502,58.46
Bullet Train,2022,127,R,7.3,49.0,377202,103.37
The Lincoln Lawyer,2011,118,R,7.3,63.0,246635,58.01
Triangle of Sadness,2022,147,R,7.3,63.0,148654,
The Place Beyond the Pines,2012,140,R,7.3,68.0,280256,21.38
Troy,2004,163,R,7.3,56.0,552990,133.38
Hereditary,2018,127,R,7.3,87.0,349133,44.07
No Time to Die,2021,163,PG-13,7.3,68.0,425565,160.87
Starship Troopers,1997,129,R,7.3,52.0,308118,54.81
National Lampoon's Vacation,1983,98,R,7.3,55.0,115650,61.40
It,I) (2017,135,R,7.3,69.0,577178,327.48
The NeverEnding Story,1984,102,PG,7.3,46.0,151054,20.16
Blue Valentine,2010,112,R,7.3,81.0,205001,9.74
Living,2022,102,PG-13,7.3,81.0,24645,
The Ballad of Buster Scruggs,2018,133,R,7.3,79.0,159288,
10 Things I Hate About You,1999,97,PG-13,7.3,70.0,363404,38.18
Men in Black,1997,98,PG-13,7.3,71.0,590684,250.69
Split,IX) (2016,117,PG-13,7.3,63.0,524710,138.29
Doctor Sleep,2019,152,R,7.3,59.0,204985,31.58
American Sniper,2014,133,R,7.3,72.0,510198,350.13
Coming Home,1978,127,R,7.3,61.0,14328,32.65
Alita: Battle Angel,2019,122,PG-13,7.3,53.0,282447,85.71
Elvis,2022,159,PG-13,7.3,64.0,213315,151.04
Irreversible,2002,97,Not Rated,7.3,51.0,142082,0.75
The Karate Kid,1984,126,PG,7.3,60.0,235876,90.82
True Lies,1994,141,R,7.3,63.0,272159,146.28
X-Men,2000,104,PG-13,7.3,64.0,631679,157.30
Black Panther,2018,134,PG-13,7.3,88.0,810491,700.06
A League of Their Own,1992,128,PG,7.3,69.0,116449,107.53
First Man,2018,141,PG-13,7.3,84.0,195817,44.94
The King,I) (2019,140,R,7.3,62.0,141302,
Avengers: Age of Ultron,2015,141,PG-13,7.3,66.0,894706,459.01
Steel Magnolias,1989,117,PG,7.3,56.0,60094,83.76
Possession,1981,124,R,7.3,75.0,37810,1.11
Cruella,2021,134,PG-13,7.3,59.0,249013,86.10
"Girl, Interrupted",1999,127,R,7.3,51.0,200364,28.87
Hercules,1997,93,G,7.3,74.0,244361,99.05
Ant-Man,2015,117,PG-13,7.3,64.0,700227,180.20
Beautiful Boy,I) (2018,120,R,7.3,62.0,89439,7.65
She Said,2022,129,R,7.3,,31672,
The Shape of Water,2017,123,R,7.3,87.0,435332,63.86
The Conjuring 2,2016,134,R,7.3,65.0,286057,102.47
Dawn of the Dead,2004,101,R,7.3,59.0,264655,59.02
Identity,2003,90,R,7.3,64.0,259086,52.16
Cape Fear,1991,128,R,7.3,73.0,206547,79.10
13 Hours,2016,144,R,7.3,48.0,152617,52.85
El Camino: A Breaking Bad Movie,2019,122,TV-MA,7.3,72.0,273551,
Speed,1994,116,R,7.3,78.0,379998,121.25
Beverly Hills Cop,1984,105,R,7.3,66.0,193326,234.76
Lars and the Real Girl,2007,106,PG-13,7.3,70.0,150517,5.97
Labyrinth,1986,101,PG,7.3,50.0,144109,12.73
Jerry Maguire,1996,139,R,7.3,77.0,278376,153.95
Decision to Leave,2022,139,Not Rated,7.3,84.0,45600,
Dumb and Dumber,1994,107,PG-13,7.3,41.0,399480,127.18
Excalibur,1981,140,PG,7.3,56.0,64817,34.97
Fast Five,2011,130,PG-13,7.3,66.0,396722,209.84
Big,1988,104,PG,7.3,73.0,232070,114.97
Flight,I) (2012,138,R,7.3,76.0,366401,93.77
Rocketman,I) (2019,121,R,7.3,69.0,184784,96.37
Monster,2003,109,R,7.3,74.0,157169,34.47
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,R,7.3,83.0,378313,52.90
Lilo & Stitch,2002,85,PG,7.3,74.0,202695,145.79
The Nightingale,I) (2018,136,R,7.3,77.0,33380,0.39
Layer Cake,2004,105,R,7.3,73.0,189485,2.34
Four Lions,2010,97,R,7.3,68.0,81988,0.30
Chef,2014,114,R,7.3,68.0,224465,30.64
Mid90s,2018,85,R,7.3,66.0,73244,7.36
Poltergeist,1982,114,PG,7.3,79.0,172102,76.61
Old Henry,2021,99,Not Rated,7.3,69.0,32149,
Face/Off,1997,138,R,7.3,82.0,390190,112.23
Sleepy Hollow,1999,105,R,7.3,65.0,371978,101.07
Unbreakable,2000,106,PG-13,7.3,62.0,430526,95.01
Belfast,2021,98,PG-13,7.3,75.0,82416,
The Accountant,2016,128,R,7.3,51.0,308094,86.26
Good Time,2017,102,R,7.3,80.0,132352,2.03
Hustle,2022,117,R,7.3,68.0,134938,
A Walk to Remember,2002,101,PG,7.3,35.0,216987,41.28
Gremlins,1984,106,PG,7.3,70.0,236342,148.17
Election,1999,103,R,7.3,83.0,100804,14.88
Raya and the Last Dragon,2021,107,PG,7.3,74.0,162382,54.72
The Secret Life of Walter Mitty,2013,114,PG,7.3,54.0,328931,58.24
Shrek 2,2004,93,PG,7.3,75.0,486441,436.47
Instant Family,2018,118,PG-13,7.3,57.0,113857,67.36
Lincoln,2012,150,PG-13,7.3,87.0,267160,182.21
Little Women,1994,115,PG,7.3,87.0,61492,50.08
Easy Rider,1969,95,R,7.3,85.0,114209,41.73
Shot Caller,2017,121,R,7.3,59.0,92161,
Submarine,2010,97,R,7.3,76.0,94035,0.47
The Lego Batman Movie,2017,104,PG,7.3,75.0,164304,175.75
Dogma,1999,130,R,7.3,62.0,223914,30.65
Tarzan,1999,88,G,7.3,79.0,237903,171.09
Revolutionary Road,2008,119,R,7.3,69.0,219941,22.91
Father Goose,1964,118,Approved,7.3,,11665,12.50
Nomadland,2020,107,R,7.3,91.0,172887,
The Squid and the Whale,2005,81,R,7.3,82.0,86657,7.36
Pale Rider,1985,115,R,7.3,61.0,62521,41.41
Southpaw,2015,124,R,7.3,57.0,249349,52.42
Slap Shot,1977,123,R,7.3,61.0,39868,28.00
The Guernsey Literary and Potato Peel Pie Society,2018,124,TV-14,7.3,65.0,49940,
Finding Dory,2016,97,PG,7.3,77.0,290846,486.30
Punch-Drunk Love,2002,95,R,7.3,78.0,171579,17.84
Bound,1996,109,R,7.3,61.0,58608,3.80
To Live and Die in L.A.,1985,116,R,7.3,81.0,36272,17.31
Pi,1998,84,R,7.3,72.0,183518,3.22
Memoirs of a Geisha,2005,145,PG-13,7.3,54.0,156119,57.49
The Return of the Living Dead,1985,91,R,7.3,66.0,65288,14.24
The Disaster Artist,2017,104,R,7.3,76.0,159982,21.12
The Basketball Diaries,1995,102,R,7.3,46.0,117016,2.42
Megamind,2010,95,PG,7.3,63.0,280885,148.42
Snowden,2016,134,R,7.3,58.0,158237,21.59
Precious,II) (2009,110,R,7.3,78.0,114141,47.57
Eraserhead,1977,89,Not Rated,7.3,87.0,122451,7.00
Equilibrium,2002,107,R,7.3,33.0,340306,1.20
The Edge of Seventeen,2016,104,R,7.3,77.0,135123,14.43
The Secret Garden,1993,101,G,7.3,74.0,43100,31.18
Before the Devil Knows You're Dead,2007,117,R,7.3,86.0,107991,7.08
Despicable Me 2,2013,98,PG,7.3,62.0,413777,368.06
Paddington,2014,95,PG,7.3,77.0,125434,76.27
In the Heights,2021,143,PG-13,7.3,84.0,50138,
Wall Street,1987,126,R,7.3,56.0,161052,43.85
Suspiria,1977,92,R,7.3,79.0,99640,
20th Century Women,2016,119,R,7.3,83.0,47670,5.66
The Descendants,2011,115,R,7.3,84.0,246438,82.58
Blue Jasmine,2013,98,PG-13,7.3,78.0,208871,33.41
Rounders,1998,121,R,7.3,54.0,156470,22.91
Twin Peaks: Fire Walk with Me,1992,134,R,7.3,45.0,101356,4.16
The Unbearable Lightness of Being,1988,171,R,7.3,73.0,37672,10.01
Enemy of the State,1998,132,R,7.3,67.0,252398,111.55
Official Secrets,2019,112,R,7.3,63.0,51582,0.40
Raising Arizona,1987,94,PG-13,7.3,69.0,145097,22.85
From Russia with Love,1963,115,PG,7.3,83.0,140640,24.80
"Good Morning, Vietnam",1987,121,R,7.3,67.0,148309,123.92
Okja,2017,120,TV-MA,7.3,75.0,127885,
Corpse Bride,2005,77,PG,7.3,83.0,286758,53.36
Heavenly Creatures,1994,99,R,7.3,86.0,66017,3.05
Frida,2002,123,R,7.3,61.0,93020,25.89
Coach Carter,2005,136,PG-13,7.3,57.0,163832,67.26
Holy Spider,2022,118,,7.3,66.0,20270,
Rocky II,1979,119,PG,7.3,61.0,223585,
Crimson Tide,1995,116,R,7.3,66.0,118843,91.40
Sexy Beast,2000,89,R,7.3,79.0,64300,6.95
Chocolat,2000,121,PG-13,7.3,64.0,197172,71.51
The Way,I) (2010,123,PG-13,7.3,64.0,34328,4.43
The Negotiator,1998,140,R,7.3,62.0,149578,44.48
The Next Three Days,2010,133,PG-13,7.3,52.0,201660,21.15
The Adventures of Tintin,2011,107,PG,7.3,68.0,238099,77.59
Ghost World,2001,111,R,7.3,90.0,124195,6.22
Grosse Pointe Blank,1997,107,R,7.3,76.0,97589,28.01
Much Ado About Nothing,1993,111,PG-13,7.3,80.0,50269,22.55
Jane Eyre,2011,120,PG-13,7.3,76.0,91077,11.24
Alice Doesn't Live Here Anymore,1974,112,PG,7.3,78.0,25607,18.60
Cha Cha Real Smooth,2022,107,R,7.3,69.0,23585,
Say Anything,1989,100,PG-13,7.3,86.0,93644,20.78
Patriots Day,2016,133,R,7.3,69.0,108851,31.89
Thirteen Days,2000,145,PG-13,7.3,67.0,60993,34.59
Big Night,1996,109,R,7.3,80.0,22018,11.88
Alice in Wonderland,1951,75,G,7.3,68.0,148673,1.07
Daisies,1966,74,Not Rated,7.3,,14275,
Matchstick Men,2003,116,PG-13,7.3,61.0,135059,36.91
Cinderella,1950,74,G,7.3,85.0,168202,85.00
Mr. Brooks,2007,120,R,7.3,45.0,154024,28.48
House,1977,88,Not Rated,7.3,,31060,
I Origins,2014,106,R,7.3,57.0,129991,0.33
Eye in the Sky,2015,102,R,7.3,73.0,89258,18.70
This Boy's Life,1993,115,R,7.3,60.0,56248,4.10
Take Shelter,2011,120,R,7.3,85.0,104444,1.73
The Getaway,1972,123,PG,7.3,55.0,34449,36.73
Shaolin Soccer,2001,87,PG,7.3,68.0,84929,0.49
Peter Pan,1953,77,G,7.3,76.0,147839,87.40
The Banker,2020,120,PG-13,7.3,59.0,32365,
Capote,2005,114,R,7.3,88.0,137449,28.75
Little Boy,2015,106,PG-13,7.3,30.0,23782,6.42
Driving Miss Daisy,1989,99,PG,7.3,81.0,114547,106.59
Youth,I) (2015,124,R,7.3,64.0,81320,2.70
Paterson,2016,118,R,7.3,90.0,85932,2.14
Across the Universe,2007,133,PG-13,7.3,56.0,112745,24.34
Star Trek IV: The Voyage Home,1986,119,PG,7.3,71.0,89171,109.71
The Way Back,I) (2010,133,PG-13,7.3,66.0,119771,2.70
One Hundred and One Dalmatians,1961,79,G,7.3,83.0,175863,144.88
The Bad News Bears,1976,102,PG,7.3,84.0,24095,42.35
The Man in the Moon,1991,99,PG-13,7.3,73.0,17711,2.85
Running Scared,2006,122,R,7.3,41.0,101894,6.86
The Simpsons Movie,2007,87,PG-13,7.3,80.0,341354,183.14
What's Love Got to Do with It,1993,118,R,7.3,76.0,23689,39.10
Eddie the Eagle,2015,106,PG-13,7.3,54.0,97358,15.79
Invictus,2009,134,PG-13,7.3,74.0,164415,37.49
The Gods Must Be Crazy,1980,109,PG,7.3,73.0,58133,30.03
The People vs. Larry Flynt,1996,130,R,7.3,79.0,98461,20.19
Detroit,2017,143,R,7.3,77.0,54905,16.79
The Hand of God,2021,130,R,7.3,76.0,46798,
Death at a Funeral,2007,90,R,7.3,67.0,118873,8.58
Amistad,1997,155,R,7.3,63.0,80650,44.18
The Captain,2017,118,,7.3,67.0,19713,0.11
The Hidden Face,2011,97,R,7.3,,44798,
The Walk,II) (2015,123,PG,7.3,70.0,132557,10.14
Lady and the Tramp,1955,76,G,7.3,78.0,142925,93.60
The Fundamentals of Caring,2016,97,TV-MA,7.3,55.0,76717,
Betty Blue,1986,119,Unrated,7.3,56.0,22615,2.00
The Guard,2011,96,R,7.3,78.0,92972,5.36
North Country,2005,126,R,7.3,68.0,44145,18.32
The Boat That Rocked,2009,117,R,7.3,58.0,114177,7.99
Blue Jay,I) (2016,80,Unrated,7.3,69.0,19346,0.01
My Sister's Keeper,2009,109,PG-13,7.3,51.0,96130,49.20
The War Zone,1999,98,R,7.3,68.0,10832,0.25
Quest for Fire,1981,100,R,7.3,79.0,23213,20.96
Stand and Deliver,1988,103,PG,7.3,77.0,21430,13.99
The Hundred-Foot Journey,2014,122,PG,7.3,55.0,85891,54.24
Murder by Death,1976,95,PG,7.3,62.0,40081,
Belle,2013,100,PG,7.3,64.0,32267,10.73
Local Hero,1983,111,PG,7.3,84.0,25708,5.90
Clerks II,2006,97,R,7.3,65.0,138887,24.15
Bad Boy Bubby,1993,114,Not Rated,7.3,,14598,
Seven Brides for Seven Brothers,1954,102,Approved,7.3,75.0,26246,9.40
Nikita,1990,117,R,7.3,56.0,74549,5.02
The Best of Enemies,2019,133,PG-13,7.3,49.0,18430,10.21
Woman in Gold,2015,109,PG-13,7.3,51.0,61219,33.31
Nobody's Fool,1994,110,R,7.3,86.0,21835,39.49
Hustle & Flow,2005,116,R,7.3,68.0,42199,22.20
Pusher,1996,110,Not Rated,7.3,72.0,42682,0.00
Gadar: Ek Prem Katha,2001,170,Not Rated,7.3,,13142,
Reds,1981,195,PG,7.3,76.0,24030,40.38
The Last Unicorn,1982,92,G,7.3,70.0,28368,6.46
An Education,2009,100,PG-13,7.3,85.0,136589,12.57
Our Friend,2019,124,R,7.3,57.0,13970,
Finding Forrester,2000,136,PG-13,7.3,62.0,88111,66.40
Rescue Dawn,2006,120,PG-13,7.3,77.0,108988,5.49
The 12th Man,2017,135,Unrated,7.3,70.0,27989,
Drugstore Cowboy,1989,101,R,7.3,82.0,39009,4.73
The Queen,2006,103,PG-13,7.3,90.0,114280,56.44
Assault on Precinct 13,1976,91,R,7.3,89.0,53344,
Bambi,1942,69,G,7.3,91.0,149345,102.80
Caché (Hidden),2005,117,R,7.3,86.0,82892,3.63
The Wanderers,1979,112,R,7.3,64.0,11982,0.01
Shallow Grave,1994,89,R,7.3,67.0,64495,2.88
Phantom of the Paradise,1974,91,PG,7.3,67.0,20978,0.16
I Can Only Imagine,2018,110,PG,7.3,30.0,17248,83.48
Seabiscuit,2003,140,PG-13,7.3,72.0,75492,120.28
Jason and the Argonauts,1963,104,G,7.3,69.0,29778,4.58
Talk to Me,2007,118,R,7.3,69.0,10133,4.47
I Stand Alone,1998,93,Not Rated,7.3,77.0,24925,0.05
Mr. Holland's Opus,1995,143,PG,7.3,59.0,40923,82.57
The Apartment,1996,116,R,7.3,,15394,
Tender Mercies,1983,92,PG,7.3,76.0,11516,8.44
Tess,1979,186,PG,7.3,82.0,17601,
Ten Inch Hero,2007,102,R,7.3,,13011,
Skyggen i mit øje,2021,107,TV-MA,7.3,,15089,
Get Carter,1971,112,R,7.3,80.0,35522,0.39
Moby Dick,1956,116,Not Rated,7.3,,20977,10.40
Lucky,I) (2017,88,Not Rated,7.3,80.0,25111,0.96
Fish Tank,2009,123,Not Rated,7.3,81.0,64004,0.37
Point Blank,1967,92,Not Rated,7.3,86.0,22380,
My Name Is Nobody,1973,116,PG,7.3,68.0,28527,0.39
Jesus Christ Superstar,1973,106,G,7.3,64.0,28621,24.48
The Ultimate Gift,2006,114,PG,7.3,49.0,19817,3.44
Eight Below,2006,120,PG,7.3,64.0,66826,81.61
The Proposition,2005,104,R,7.3,73.0,54059,1.90
Funny Girl,1968,151,G,7.3,89.0,24144,58.50
Anomalisa,2015,90,R,7.3,88.0,73961,3.76
The Professionals,1966,117,PG-13,7.3,75.0,17989,19.54
Waking Ned Devine,1998,91,PG,7.3,71.0,27414,24.79
Starred Up,2013,106,Not Rated,7.3,81.0,47771,0.03
24 Hour Party People,2002,117,R,7.3,85.0,38668,1.13
A Passage to India,1984,164,PG,7.3,78.0,19782,27.19
Run Silent Run Deep,1958,93,Approved,7.3,62.0,12539,
Uncle Frank,2020,95,R,7.3,58.0,21979,
Deconstructing Harry,1997,96,R,7.3,61.0,46659,10.69
Beau travail,1999,92,Unrated,7.3,91.0,13338,0.25
Far from Heaven,2002,107,PG-13,7.3,84.0,48044,15.85
Antwone Fisher,2002,120,PG-13,7.3,62.0,37272,21.08
The Girl Who Kicked the Hornet's Nest,2009,147,R,7.3,60.0,73386,5.43
Red Cliff,2008,148,R,7.3,73.0,47586,0.63
Norma Rae,1979,114,PG,7.3,61.0,12351,22.23
Ragtime,1981,155,PG,7.3,57.0,10237,21.02
Phoenix,II) (2014,98,PG-13,7.3,89.0,19862,
Toni Erdmann,2016,162,R,7.3,93.0,50074,1.48
Ghajini,2008,186,Not Rated,7.3,,64859,2.43
Live Flesh,1997,103,R,7.3,69.0,32879,1.54
Marshall,2017,118,PG-13,7.3,66.0,25750,10.05
Suspicion,1941,99,Approved,7.3,83.0,40670,4.50
Shadowlands,1993,131,PG,7.3,,19864,25.84
Pom Poko,1994,119,PG,7.3,77.0,32411,
The Man in the White Suit,1951,85,Approved,7.3,,10433,0.01
Red Dog,2011,92,PG,7.3,,18817,
Bacurau,2019,131,Not Rated,7.3,82.0,29375,
My Favorite Year,1982,92,PG,7.3,62.0,10161,20.12
The Last Black Man in San Francisco,2019,121,R,7.3,83.0,20926,4.52
Targets,1968,90,R,7.3,,10685,
Irma la Douce,1963,147,Approved,7.3,63.0,20352,25.25
Gods and Monsters,1998,105,R,7.3,74.0,32219,6.39
Pauline at the Beach,1983,95,R,7.3,,10125,
"The Long, Hot Summer",1958,115,Not Rated,7.3,,11823,
The Man from Laramie,1955,103,Not Rated,7.3,,11580,
Lorenzo's Oil,1992,129,PG-13,7.3,80.0,23534,7.29
The Baader Meinhof Complex,2008,150,R,7.3,76.0,39162,0.48
Kiss of the Spider Woman,1985,120,R,7.3,80.0,16835,17.04
Murder in the First,1995,122,R,7.3,,29778,17.38
Rosencrantz & Guildenstern Are Dead,1990,117,PG,7.3,,23332,0.74
Bedevilled,2010,115,Not Rated,7.3,,16288,
Angela's Ashes,1999,145,R,7.3,54.0,22638,13.04
The Last Metro,1980,131,PG,7.3,,15191,
Mona Lisa,1986,104,R,7.3,85.0,17949,5.79
Shaun the Sheep Movie,2015,85,PG,7.3,81.0,42265,19.38
Tamasha,2015,139,Not Rated,7.3,,29831,1.98
The Killing of a Chinese Bookie,1976,135,R,7.3,65.0,13990,
Manhattan Murder Mystery,1993,104,PG,7.3,71.0,45661,11.29
A Street Cat Named Bob,2016,103,Not Rated,7.3,54.0,32710,0.04
Pusher II,2004,100,Not Rated,7.3,78.0,23812,
A Star Is Born,1937,111,Passed,7.3,77.0,10441,4.36
Palm Trees in the Snow,2015,163,,7.3,,12211,
Dirty Pretty Things,2002,97,R,7.3,78.0,43511,8.11
Richard III,1995,110,R,7.3,86.0,15229,2.60
Journey to Italy,1954,97,Not Rated,7.3,100.0,11636,
Loft,I) (2008,118,,7.3,,24304,
The Spanish Apartment,2002,122,R,7.3,65.0,42194,3.90
Hope and Glory,1987,113,PG-13,7.3,86.0,14050,10.02
Jin-Roh: The Wolf Brigade,1999,102,R,7.3,59.0,17897,0.09
The Misfortunates,2009,108,Not Rated,7.3,54.0,11202,
Barney's Version,2010,134,R,7.3,67.0,25755,7.50
Interiors,1978,92,PG,7.3,67.0,20420,
Ronia: The Robber's Daughter,1984,126,,7.3,,11552,
Shogun Assassin,1980,85,R,7.3,,10930,
You're Not You,2014,102,R,7.3,56.0,26323,
Village of the Damned,1960,77,Not Rated,7.3,77.0,18496,
Monsieur Hulot's Holiday,1953,83,Not Rated,7.3,,19552,
Summer Storm,2004,98,R,7.3,51.0,14301,0.10
"Two Days, One Night",2014,95,PG-13,7.3,89.0,49699,1.44
Project A,1983,105,PG-13,7.3,,17833,
Trade,I) (2007,120,R,7.3,42.0,17715,0.21
The Man with the Golden Arm,1955,119,Passed,7.3,63.0,11811,
Reprise,2006,105,R,7.3,79.0,14445,0.55
Detour,1945,66,Passed,7.3,,18625,0.02
The Collini Case,2019,123,Not Rated,7.3,,11401,
United,I) (2011,94,PG-13,7.3,,12653,
Atlantic City,1980,104,R,7.3,85.0,17743,
The Three Burials of Melquiades Estrada,2005,121,R,7.3,77.0,41390,5.02
The Yellow Sea,2010,136,R,7.3,70.0,22247,
The Stranger,1946,95,Passed,7.3,76.0,27649,
Max Manus: Man of War,2008,118,Not Rated,7.3,60.0,29087,
Monsoon Wedding,2001,114,R,7.3,77.0,26270,13.88
Abbott and Costello Meet Frankenstein,1948,83,Not Rated,7.3,,18498,4.80
The Beast of War,1988,111,R,7.3,,10335,0.16
Bullhead,2011,129,R,7.3,68.0,23947,0.15
Master,I) (2021,179,Not Rated,7.3,,79519,
Desert Flower,2009,120,R,7.3,54.0,13852,0.04
The Front Page,1974,105,PG,7.3,62.0,14508,17.30
The Bélier Family,2014,106,,7.3,,29135,
The Day of the Beast,1995,99,R,7.3,,22851,0.02
On the Town,1949,98,Passed,7.3,71.0,18283,
Ala Vaikunthapurramuloo,2020,163,Not Rated,7.3,,21988,0.00
Jersey,2022,170,,7.3,,13861,
Metropolitan,1990,98,PG-13,7.3,77.0,11943,2.94
"Sorry, Wrong Number",1948,89,Approved,7.3,,11962,
Lust for Life,1956,122,Approved,7.3,68.0,12188,
Pusher III,2005,108,Not Rated,7.3,72.0,17242,
The Lodger: A Story of the London Fog,1927,92,Not Rated,7.3,,12772,
Brigsby Bear,2017,97,PG-13,7.3,67.0,17410,0.53
Two Is a Family,2016,118,,7.3,,27791,
Shock Corridor,1963,101,Not Rated,7.3,,12684,
42nd Street,1933,89,Passed,7.3,83.0,12666,2.30
Christmas in Connecticut,1945,101,Not Rated,7.3,64.0,10985,
Psycho Raman,2016,133,Not Rated,7.3,,15509,
The Snow Walker,2003,103,PG,7.3,,11130,
Snake in the Eagle's Shadow,1978,90,PG,7.3,,12460,
The Spiral Staircase,1946,83,Approved,7.3,,10780,
Holiday Inn,1942,100,Passed,7.3,,16362,8.18
A Woman Is a Woman,1961,84,Not Rated,7.3,71.0,18701,0.10
"Watch Out, We're Mad",1974,102,G,7.3,,13370,
The Naked Spur,1953,91,Passed,7.3,,12276,
In China They Eat Dogs,1999,91,Not Rated,7.3,,22531,
The Innocents,2016,115,PG-13,7.3,78.0,11329,1.06
My Hero Academia: Two Heroes,2018,96,PG-13,7.3,,11709,5.75
Bala,2019,133,Not Rated,7.3,,15508,
After the Storm,2016,118,Not Rated,7.3,84.0,12184,0.27
Viva Zapata!,1952,113,Approved,7.3,,12058,
Café de Flore,2011,120,Not Rated,7.3,53.0,16468,
Let the Bullets Fly,2010,132,Not Rated,7.3,66.0,12517,0.06
Twice Born,2012,127,R,7.3,34.0,17110,0.01
Polisse,2011,127,Not Rated,7.3,74.0,14883,0.17
Graduation,2016,128,R,7.3,84.0,14350,0.18
Grand Hotel,I) (1932,112,Not Rated,7.3,,20285,2.69
We Are the Nobles,2013,108,PG-13,7.3,,10252,
My Favorite Wife,1940,88,Passed,7.3,,11125,
What's in a Name?,2012,109,PG,7.3,66.0,17537,
Infernal Affairs II,2003,119,Not Rated,7.3,,19117,
Roma,1972,120,R,7.3,,13426,0.73
Muhammad: The Messenger of God,2015,162,,7.3,,11560,
A Coffee in Berlin,2012,86,Not Rated,7.3,63.0,17157,0.15
Hilary and Jackie,1998,121,R,7.3,78.0,10544,4.87
Monsieur Ibrahim,2003,95,R,7.3,69.0,11409,2.82
Labyrinth of Lies,2014,124,R,7.3,62.0,13691,0.79
In Darkness,2011,145,R,7.3,74.0,10979,1.04
Truman,2015,108,TV-14,7.3,81.0,13610,0.21
The Son's Room,2001,99,R,7.3,73.0,20953,1.01
Theri,2016,157,Not Rated,7.3,,21692,
Three Monkeys,2008,109,Not Rated,7.3,73.0,22312,0.04
Read My Lips,2001,115,R,7.3,82.0,16147,1.36
A.R.O.G,2008,127,TV-G,7.3,,43886,
Easter Parade,1948,103,G,7.3,,10643,9.03
Elena,2011,109,Not Rated,7.3,87.0,14848,0.02
Fullmetal Alchemist the Movie: Conqueror of Shamballa,2005,105,PG-13,7.3,,11856,
Chinese Take-Out,2011,93,Not Rated,7.3,,19080,
La Chèvre,1981,91,,7.3,,10088,
Mulk,I) (2018,140,,7.3,,21427,
Taxi No. 9 2 11: Nau Do Gyarah,2006,116,Not Rated,7.3,,10398,0.29
Butterflies,2018,117,,7.3,,14920,
Once Upon a Time in China II,1992,113,R,7.3,,10331,
The Parade,2011,115,Not Rated,7.3,,12605,
13,2005,93,Not Rated,7.3,61.0,17799,0.12
Taxi,III) (2015,82,Not Rated,7.3,91.0,16044,0.32
"Don't Worry, I'm Fine",2006,92,,7.3,,11115,
